Feature Model Name,Number of features (NF),Number of Mandatory Features (NM),Number of Top Features (NTop),Number of Leaf Features (NLeaf),Depth of Tree Max (DT Max),Cognitive Complexity of a Feature Model (CogC),Feature EXtendibility (FEX),Flexibility of Configuration (FoC),Single Cyclic Dependent Features (SCDF),Multiple Cyclic Dependent Features (MCDF),Number of Features Referenced in Constraints Mean (Rden),Ratio of Variability (RoV),Number of Valid Configurations (NVC),Number Groups Or (NGOr),Number Groups XOR (NGXOr)
PGE-FeatureModel_V1,moderate,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,high
SMS a Cobrar / Resposta paga,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Meshing Tool Generator,moderate,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,veryHigh,veryHigh,moderate,moderate,moderate,high,high
Java EE 6 - Camilo Fierro,moderate,veryLow,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,high,moderate
Cellphone,low,low,moderate,low,moderate,moderate,moderate,moderate,high,moderate,veryHigh,moderate,low,moderate,moderate
MLX,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate
AudioPlayer,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Online Shop Feature Model,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Observatorio,low,moderate,moderate,veryLow,high,moderate,veryLow,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
MISO Uniandes 201411102,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Loja Virtual,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Help System,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,high,veryHigh,moderate,moderate,moderate,high
Arcade Game PL Feature Model,high,high,moderate,veryHigh,veryHigh,high,veryHigh,moderate,moderate,veryHigh,moderate,moderate,high,veryHigh,moderate
body comfort system,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate
CIMS PL,low,moderate,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,veryHigh,veryLow,moderate,moderate
WebCollaborativeApplication,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,high,moderate,moderate,moderate
PhotoSahring,veryHigh,moderate,moderate,veryHigh,veryHigh,veryHigh,veryHigh,moderate,moderate,moderate,moderate,moderate,high,veryHigh,high
SHIFT QAs,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Mobile Media JULIO,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Dental Surgery,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
GoPhone Inc,moderate,veryLow,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate
HDD Seagate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,veryHigh,moderate,moderate,moderate,moderate,moderate,high
Video CMS,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate
Automotive system,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,veryHigh
Toko,veryHigh,high,high,high,moderate,veryHigh,high,moderate,moderate,moderate,veryHigh,moderate,high,veryHigh,moderate
NOVASOFT,moderate,veryHigh,moderate,high,low,moderate,high,low,moderate,moderate,moderate,veryHigh,veryLow,moderate,moderate
ScrollingText,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,veryHigh,veryHigh,veryHigh,moderate,moderate,moderate,high
Mobile Applications Contents,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,high,moderate,moderate,moderate
Assistencia domiciliar,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,high,moderate
Tata Cars,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Windows .NET,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate
Torrent Client,moderate,low,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,high,veryHigh,moderate,moderate,moderate,moderate
FIRE-ALARM,moderate,moderate,moderate,moderate,high,moderate,moderate,low,veryHigh,moderate,veryHigh,moderate,moderate,moderate,moderate
Configurable Tank,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,veryHigh,moderate,moderate,moderate,high
FM ERP-SPL,high,veryHigh,moderate,high,high,moderate,high,moderate,moderate,moderate,veryHigh,moderate,moderate,high,moderate
RaaS,moderate,low,veryHigh,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,veryHigh,high,moderate,moderate
Limerick Bike Sharing System,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,high,moderate,moderate,moderate
Virtual_Office_of_the_Future,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
e-commerce,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Congress Assistant,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
NCV_Simulation,moderate,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
HelpSystem_2,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,high,moderate,moderate,moderate,moderate,high
Reference Management Softwares Feature Model,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,veryHigh,moderate,moderate,moderate,moderate
ModelTransformation,veryHigh,moderate,moderate,veryHigh,veryHigh,veryHigh,veryHigh,moderate,moderate,moderate,moderate,moderate,veryHigh,veryHigh,veryHigh
Smart_Home,moderate,low,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Magister 2014-ROLOG,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate
Simple Drawing Tools,moderate,low,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Mobile Media until relase 7,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
VacacionesSanmiguel,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,veryHigh,moderate,moderate,high,moderate
AvionFEatures,low,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
SimulesSPLBruno,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
WindFarm,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate
FM ERP-SPL,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
B2B Website,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate,moderate,moderate
Sastm,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,high,moderate
Robot Calibration,moderate,moderate,high,moderate,moderate,moderate,moderate,low,veryHigh,high,moderate,moderate,moderate,moderate,veryHigh
ETRobocon,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
eventos2,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
poker spl,low,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
E-commerce system1,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
OnlineExamPL,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,low,moderate,moderate
U-learning System,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Smart Queue,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,high
LXEP,low,moderate,moderate,low,low,moderate,low,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
Text Editor,moderate,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,veryHigh,moderate,low,moderate,moderate
Mobile Media,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
FrameWorkProdemge,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
MasterSoft: Verkauf,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Pip,moderate,moderate,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,veryHigh,veryLow,moderate,moderate
MobilePhone,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
SPLE robot assignment,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,high,high,moderate,moderate,moderate,moderate,high
e-banking-IN0980,high,moderate,high,high,moderate,veryHigh,high,moderate,high,moderate,moderate,moderate,high,veryHigh,moderate
MobileMedia,low,low,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
TW SPL Hard Choices,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,high,low,moderate,moderate
Documentation_Generation,moderate,moderate,moderate,moderate,high,high,high,moderate,moderate,veryHigh,moderate,moderate,moderate,high,moderate
