Feature Model Name,Number of features (NF),Number of Mandatory Features (NM),Number of Top Features (NTop),Number of Leaf Features (NLeaf),Depth of Tree Max (DT Max),Cognitive Complexity of a Feature Model (CogC),Feature EXtendibility (FEX),Flexibility of Configuration (FoC),Single Cyclic Dependent Features (SCDF),Multiple Cyclic Dependent Features (MCDF),Number of Features Referenced in Constraints Mean (Rden),Ratio of Variability (RoV),Number of Valid Configurations (NVC),Number Groups Or (NGOr),Number Groups XOR (NGXOr)
Tree Stem Deformation Simulator,43,13,9,28,5,10,33,0.046511627906976744,0,5,0.0,2.08,1202985.0,10,0
Equipo 6 - Uniandes - MP,62,43,7,49,4,2,49,0.20967741935483872,0,0,0.0,4.2,18624.0,0,2
USECASE_Test,64,3,7,52,5,11,56,0.0625,3,1,1.0,3.217391304347826,2795520.0,3,8
SEPFeatureModel,33,10,7,21,4,2,21,0.6060606060606061,0,0,0.0,2.4285714285714284,52500.0,0,2
ISA11/12_pgr,19,5,6,13,3,4,20,0.15789473684210525,6,1,1.0,2.2,72.0,1,3
MiniRPG,13,8,2,7,3,0,7,0.3076923076923077,0,0,0.0,2.0,16.0,0,0
MobileApps Multiplatform,29,5,3,23,4,2,30,0.41379310344827586,3,4,0.0,3.75,355688.0,1,1
Video Player,53,14,6,33,5,9,33,0.32075471698113206,0,0,1.0,2.103448275862069,8.4446208E8,9,0
Connector PL,20,4,2,10,9,7,10,0.05,0,0,0.0,1.5294117647058822,18.0,1,6
Audio Player,15,9,2,9,4,1,9,0.2,0,0,0.0,2.142857142857143,12.0,0,1
E-science application,61,1,3,43,8,16,46,0.11475409836065574,1,2,1.0,2.235294117647059,4.7185922E8,5,11
Eclipse Platform,29,0,4,20,5,3,20,0.6896551724137931,0,0,1.0,2.5833333333333335,983150.0,3,0
Stack PL,17,2,5,11,4,4,11,0.23529411764705882,0,0,0.0,2.0,432.0,1,3
Online Bookstore,25,6,3,16,5,6,18,0.12,0,2,1.0,2.0,3168.0,3,3
Adempiere,43,36,3,32,4,0,32,0.13953488372093023,0,0,0.0,3.8181818181818183,64.0,0,0
E-commerce system,53,44,7,35,8,4,35,0.05660377358490566,0,0,0.0,2.5454545454545454,18.0,1,3
JCalc_LPS,22,5,7,17,3,3,17,0.2727272727272727,0,0,0.0,3.0,1152.0,0,3
OW2-FraSCAti-1.4,63,18,8,48,5,2,48,0.6190476190476191,0,0,0.0,3.764705882352941,1.6840776E9,0,2
MarketplaceMiso,35,21,6,28,2,0,28,0.37142857142857144,0,0,0.0,4.857142857142857,6144.0,0,0
Devolution,32,10,7,20,7,4,20,0.375,0,0,0.0,2.1875,34632.0,3,1
mac,39,1,10,28,8,5,28,0.5641025641025641,0,0,0.0,2.6875,7302400.0,0,5
IDE4OCL,18,7,7,15,4,1,15,0.3888888888888889,0,0,0.0,4.5,896.0,1,0
Assistente de Compras,11,4,4,6,4,2,6,0.18181818181818182,0,0,0.0,1.7142857142857142,24.0,1,1
Prontuário Eletrônico de Pacientes,10,5,4,6,2,0,6,0.4,0,0,0.0,2.25,10.0,0,0
Software-Product,19,9,9,12,2,0,12,0.47368421052631576,0,0,0.0,2.5714285714285716,512.0,0,0
Key_Word_In_Context_index_systems,25,8,4,16,4,6,19,0.08,3,0,0.0,2.0,240.0,1,5
VOTE4ME Serveur,23,5,5,15,7,7,15,0.0,0,0,0.0,1.9333333333333333,810.0,4,3
MyHolidays,13,3,5,9,3,3,9,0.15384615384615385,0,0,0.0,2.142857142857143,112.0,1,2
E-science application,61,1,3,43,8,16,43,0.11475409836065574,0,0,0.0,2.235294117647059,7.5497474E8,5,11
Navigation Protocol,16,7,6,11,4,3,11,0.0625,0,0,0.0,2.25,56.0,2,1
DeReTiYo,31,11,8,23,4,5,23,0.16129032258064516,0,0,0.0,2.6923076923076925,11520.0,2,3
GMF_Eclipse_Reuso_UFRJ,25,23,6,18,2,0,18,0.04,0,0,0.0,3.4285714285714284,2.0,0,0
Graph Product Line,17,2,4,12,3,4,22,0.11764705882352941,4,6,0.0,2.2222222222222223,79.0,1,3
DelayBlockSemSpec,23,8,7,16,3,1,23,0.30434782608695654,7,0,0.0,2.875,41.0,0,1
Premium1Nemocon,32,4,8,21,5,10,21,0.125,0,0,0.0,1.9523809523809523,1128960.0,7,3
J2EE web architecture,77,27,17,46,5,11,46,0.35064935064935066,0,0,0.0,2.0714285714285716,1.81398528E10,4,7
HybridCar,10,1,1,8,3,1,8,0.0,0,0,0.0,3.3333333333333335,255.0,1,0
SPL SimulES- PnP,59,18,3,38,5,14,38,0.13559322033898305,0,0,0.0,2.057142857142857,4.1140224E7,1,13
Mobile Media,13,5,3,8,3,2,10,0.15384615384615385,1,1,1.0,2.0,24.0,1,1
Middle Office,16,14,5,10,3,0,10,0.0625,0,0,0.0,2.5,2.0,0,0
Simnumero,10,2,2,2,8,0,2,0.7,0,0,0.0,1.125,8.0,0,0
Parking lot Manager,13,5,4,8,4,1,9,0.38461538461538464,1,0,1.0,2.1666666666666665,16.0,0,1
BankingSoftware,176,46,3,148,7,16,152,0.4375,4,0,0.0,4.340909090909091,5.258227990362193E31,6,10
SPL-Doctor Chat,34,5,9,24,4,7,24,0.20588235294117646,0,0,0.0,2.3529411764705883,2752512.0,6,1
UML-IDE-TOOL,14,2,3,11,4,1,11,0.6428571428571429,0,0,0.0,3.5,1536.0,1,0
Invio,24,4,4,17,5,4,18,0.3333333333333333,0,1,0.0,2.4545454545454546,23520.0,3,1
Amazon web services,18,1,1,13,5,4,13,0.0,0,0,0.0,2.3333333333333335,8191.0,4,0
Ubuntu,11,3,4,7,3,3,7,0.09090909090909091,0,0,1.0,1.8571428571428572,12.0,0,3
Control Biometrico,35,14,9,23,5,6,27,0.2,1,3,0.0,2.2222222222222223,23040.0,5,1
LscSpecSemantics,17,5,4,10,4,5,10,0.058823529411764705,0,0,0.0,1.75,40.0,0,5
Tree Stem Deformation Simulator,43,13,9,28,5,10,33,0.046511627906976744,0,5,0.0,2.08,1202985.0,10,0
Pricing,33,4,5,25,5,7,25,0.030303030303030304,0,0,0.0,2.6,673785.0,5,2
Game Entity Model,21,5,3,14,4,3,14,0.3333333333333333,0,0,0.0,2.3,513.0,0,3
pruebapalabras,14,4,3,8,4,3,8,0.07142857142857142,0,0,0.0,1.7777777777777777,72.0,2,1
Billing,88,11,11,74,4,2,102,0.5113636363636364,0,28,0.0,5.5625,3.8654705664E12,1,1
Webmail,81,32,8,55,6,7,55,0.35802469135802467,0,0,0.0,2.6363636363636362,4.4927301888E11,7,0
GuideAgent,17,11,4,12,3,2,17,0.0,0,5,0.0,2.5714285714285716,11.0,2,0
MobiLine,17,8,4,9,5,2,11,0.17647058823529413,0,2,1.0,1.8,112.0,2,0
UPL,11,3,2,7,6,2,7,0.18181818181818182,0,0,0.0,2.0,18.0,1,1
Toko,56,18,9,37,5,10,37,0.19642857142857142,0,0,1.0,2.2413793103448274,2.322432E8,9,1
Sistem Informasi Rumah Sakit MIK,45,3,8,34,5,12,34,0.06666666666666667,0,0,0.0,2.4347826086956523,6.6028032E9,11,1
IntelligentTutoringSystem,12,3,4,8,3,2,8,0.3333333333333333,0,0,1.0,2.1666666666666665,84.0,2,0
Cruise Control SPL,19,4,4,14,3,2,16,0.42105263157894735,0,2,0.0,2.857142857142857,776.0,2,0
Simple e-shop,10,3,4,7,3,2,9,0.1,1,1,1.0,2.2,20.0,1,1
Video On Demand FM,13,4,6,10,3,3,15,0.07692307692307693,2,3,0.0,2.5,16.0,2,1
MobileMedia_Conejero,25,16,3,15,3,0,15,0.32,0,0,0.0,2.4,256.0,0,0
MayaVariabilityModel,54,36,9,45,4,4,45,0.09259259259259259,0,0,1.0,4.384615384615385,5544.0,2,2
Tankwar,36,7,7,25,4,8,25,0.19444444444444445,0,0,0.0,2.263157894736842,580608.0,2,6
SmartHotel,13,1,5,9,4,2,9,0.46153846153846156,0,0,1.0,2.3333333333333335,102.0,1,1
xtext,137,41,13,102,7,0,102,0.6934306569343066,0,0,1.0,3.8857142857142857,1.3079318200766928E23,0,0
Marketplace para PYMES,31,19,8,22,2,0,22,0.3548387096774194,0,0,0.0,3.3333333333333335,960.0,0,0
E-portal,11,5,4,8,4,1,8,0.2727272727272727,0,0,0.0,2.75,16.0,1,0
Ligne des sites Web,25,7,3,16,5,4,21,0.28,3,2,0.0,2.1538461538461537,181.0,2,2
Respaldo de base de datos (Poda),20,18,3,15,3,0,15,0.05,0,0,0.0,3.8,2.0,0,0
TVSmart,14,4,5,9,5,3,10,0.21428571428571427,1,0,1.0,2.0,28.0,0,3
Plone Meeting,57,13,7,41,4,9,41,0.22807017543859648,0,0,0.0,2.6,8.77658112E9,5,4
Mobile Media_LeonardoSilva,16,7,3,10,3,1,10,0.375,0,0,1.0,2.2857142857142856,48.0,0,1
Toko,49,17,7,32,5,9,32,0.14285714285714285,0,0,1.0,2.1923076923076925,9031680.0,8,1
ScrollingText,29,9,7,19,4,7,30,0.0,8,3,0.0,2.0588235294117645,192.0,1,6
prueba,26,9,5,18,4,3,20,0.2692307692307692,2,0,1.0,2.5454545454545454,720.0,0,3
SPL SimulES- PnP,53,14,3,35,6,11,35,0.22641509433962265,0,0,0.0,2.1724137931034484,9.7327104E7,3,8
FAME-DBMS,21,6,4,13,6,5,13,0.19047619047619047,0,0,0.0,1.9230769230769231,320.0,0,5
Wireless sensor actuator network,44,3,4,33,4,2,33,0.6363636363636364,0,0,0.0,3.4615384615384617,1.3441204224E10,2,0
RST Game,19,3,5,13,3,5,13,0.10526315789473684,0,0,0.0,2.090909090909091,1440.0,2,3
portafolioContreras,22,6,5,15,4,4,15,0.22727272727272727,0,0,0.0,2.272727272727273,1536.0,2,2
Car Software System,18,7,2,12,5,3,12,0.16666666666666666,0,0,1.0,2.2222222222222223,70.0,2,1
Mobile Game,10,1,3,6,3,1,6,0.4,0,0,0.0,2.0,135.0,1,0
VR application,29,9,8,19,4,5,22,0.20689655172413793,2,1,1.0,2.2,3276.0,2,3
EC2,20,3,3,12,7,7,12,0.0,0,0,0.0,1.7333333333333334,32.0,0,7
SWAMP Platform,29,18,9,20,4,3,20,0.13793103448275862,0,0,0.0,2.5833333333333335,360.0,3,0
HandlingSystem,11,0,4,6,8,10,6,0.0,0,0,0.0,1.3333333333333333,1.0,9,1
Tienda Virtual PUJ,17,4,3,13,4,1,13,0.5294117647058824,0,0,0.0,3.4,816.0,0,1
ESCA Embeeded System,11,3,1,7,4,2,7,0.0,0,0,0.0,2.0,10.0,0,2
Urna eletronica Vinicius Cesar,15,5,3,11,4,4,11,0.0,0,0,0.0,2.25,6.0,0,4
TreeStemDeformationMeshingTool,32,6,7,21,5,10,25,0.03125,0,4,1.0,1.9523809523809523,157584.0,10,0
PGE-FeatureModel_V1,48,8,13,35,5,12,35,0.10416666666666667,0,0,0.0,2.36,8.2954368E8,7,5
SMS a Cobrar / Resposta paga,17,8,8,12,3,1,12,0.4117647058823529,0,0,1.0,2.8333333333333335,96.0,1,0
Meshing Tool Generator,40,6,12,28,3,11,37,0.2,4,5,0.0,2.1739130434782608,294912.0,5,6
Java EE 6 - Camilo Fierro,45,0,11,33,5,11,33,0.24444444444444444,0,0,0.0,2.391304347826087,1.0469376E9,7,4
Cellphone,11,2,3,7,3,3,11,0.09090909090909091,3,1,1.0,1.8571428571428572,14.0,1,2
MLX,37,8,2,26,6,4,32,0.4594594594594595,1,5,0.0,2.6666666666666665,142970.0,1,3
AudioPlayer,17,9,3,12,4,1,12,0.29411764705882354,0,0,0.0,2.8333333333333335,96.0,1,0
Online Shop Feature Model,12,3,3,8,3,3,8,0.0,0,0,0.0,2.0,42.0,1,2
Observatorio,11,5,2,4,6,2,4,0.2727272727272727,0,0,0.0,1.3333333333333333,8.0,2,0
MISO Uniandes 201411102,17,8,4,12,2,0,12,0.47058823529411764,0,0,0.0,3.2,120.0,0,0
Loja Virtual,11,3,2,7,4,2,9,0.09090909090909091,0,2,1.0,2.0,56.0,2,0
Help System,25,6,6,17,5,7,20,0.0,0,3,1.0,2.066666666666667,1008.0,1,6
Arcade Game PL Feature Model,61,18,2,47,8,9,80,0.08196721311475409,0,33,0.0,3.0,3.299733576E9,9,0
body comfort system,27,6,3,17,4,2,21,0.4444444444444444,1,3,0.0,2.3333333333333335,11616.0,1,1
CIMS PL,10,9,5,8,2,0,8,0.0,0,0,0.0,4.5,1.0,0,0
WebCollaborativeApplication,40,8,16,32,4,2,32,0.625,0,0,0.0,4.1,3.52512E7,1,1
PhotoSahring,76,14,4,49,8,21,49,0.06578947368421052,0,0,0.0,2.0,5.7354780672E12,16,5
SHIFT QAs,14,4,2,8,5,4,8,0.0,0,0,0.0,1.7,24.0,1,3
Mobile Media JULIO,14,6,3,9,3,1,10,0.42857142857142855,1,0,1.0,2.3333333333333335,24.0,0,1
Dental Surgery,10,5,6,8,3,3,8,0.1,0,0,0.0,2.4,2.0,0,3
GoPhone Inc,16,0,5,10,3,0,10,0.9375,0,0,0.0,2.5,3150.0,0,0
HDD Seagate,27,5,6,20,3,6,36,0.037037037037037035,16,0,0.0,2.4615384615384617,560.0,1,5
Video CMS,36,9,9,28,5,8,28,0.19444444444444445,0,0,0.0,2.6875,378000.0,6,2
Automotive system,31,8,5,20,6,8,31,0.0967741935483871,9,2,0.0,2.0,1344.0,1,7
Toko,63,19,9,43,5,11,43,0.2222222222222222,0,0,1.0,2.3548387096774195,6.53184E9,10,1
NOVASOFT,49,48,3,45,2,0,45,0.0,0,0,0.0,12.0,1.0,0,0
ScrollingText,27,7,7,19,3,7,30,0.0,4,7,1.0,2.2,1440.0,2,5
Mobile Applications Contents,22,5,4,17,3,1,17,0.5,0,0,0.0,3.6666666666666665,5280.0,0,1
Assistencia domiciliar,25,6,7,16,4,7,18,0.12,0,2,1.0,1.9375,5796.0,7,0
Tata Cars,13,5,4,8,3,2,8,0.15384615384615385,0,0,0.0,2.0,24.0,1,1
Windows .NET,13,6,9,11,3,2,11,0.3076923076923077,0,0,0.0,3.5,16.0,2,0
Torrent Client,29,2,12,21,3,6,25,0.3793103448275862,1,3,1.0,2.4285714285714284,147456.0,3,3
FIRE-ALARM,19,4,2,10,6,7,16,0.0,6,0,1.0,1.5625,18.0,4,3
Configurable Tank,24,9,3,14,4,6,16,0.08333333333333333,2,0,1.0,1.8125,108.0,1,5
FM ERP-SPL,57,28,6,37,6,6,39,0.24561403508771928,0,2,1.0,2.3846153846153846,1292544.0,6,0
RaaS,32,2,19,28,3,3,28,0.53125,0,0,0.0,4.857142857142857,1.2582912E8,3,0
Limerick Bike Sharing System,34,25,6,26,5,2,26,0.029411764705882353,0,0,0.0,3.5,48.0,1,1
Virtual_Office_of_the_Future,14,6,3,8,5,1,8,0.35714285714285715,0,0,0.0,2.0,48.0,0,1
e-commerce,15,4,4,11,4,2,11,0.2,0,0,0.0,2.6666666666666665,213.0,1,1
Congress Assistant,12,2,4,8,5,3,8,0.16666666666666666,0,0,0.0,2.0,48.0,1,2
NCV_Simulation,13,7,2,7,5,1,7,0.23076923076923078,0,0,0.0,1.8571428571428572,18.0,1,0
HelpSystem_2,26,9,7,18,3,6,21,0.0,0,3,0.0,2.2142857142857144,96.0,1,5
Reference Management Softwares Feature Model,31,6,4,23,4,4,34,0.3225806451612903,1,10,1.0,2.8333333333333335,87480.0,3,1
ModelTransformation,88,17,8,55,9,25,55,0.125,0,0,0.0,1.9310344827586208,1.655417088E13,14,11
Smart_Home,28,2,6,19,4,2,19,0.6785714285714286,0,0,1.0,2.6363636363636362,182280.0,1,1
Magister 2014-ROLOG,13,4,10,11,3,1,11,0.46153846153846156,0,0,0.0,4.333333333333333,96.0,0,1
Simple Drawing Tools,14,2,2,11,3,2,11,0.0,0,0,0.0,3.0,1905.0,2,0
Mobile Media until relase 7,17,9,3,12,3,1,12,0.23529411764705882,0,0,0.0,2.8333333333333335,112.0,1,0
VacacionesSanmiguel,25,3,9,18,4,5,24,0.28,0,6,1.0,2.4166666666666665,28764.0,5,0
AvionFEatures,10,4,5,7,3,2,7,0.1,0,0,0.0,2.2,12.0,2,0
SimulesSPLBruno,19,15,4,13,3,0,13,0.15789473684210525,0,0,0.0,3.0,8.0,0,0
WindFarm,27,15,5,19,5,4,19,0.037037037037037035,0,0,0.0,2.5,72.0,0,4
FM ERP-SPL,42,23,5,29,4,3,31,0.23809523809523808,0,2,1.0,2.75,4320.0,3,0
B2B Website,37,23,3,29,4,2,29,0.13513513513513514,0,0,1.0,3.8,7200.0,2,0
Sastm,30,5,4,20,5,7,28,0.16666666666666666,0,8,0.0,2.1176470588235294,78240.0,7,0
Robot Calibration,33,10,9,23,3,8,30,0.0,4,3,0.0,2.2222222222222223,648.0,1,7
ETRobocon,11,3,2,8,3,1,8,0.2727272727272727,0,0,0.0,2.75,120.0,1,0
eventos2,25,4,7,18,3,6,18,0.12,0,0,0.0,2.3076923076923075,10584.0,2,4
poker spl,11,3,4,7,3,1,7,0.36363636363636365,0,0,0.0,2.2,21.0,0,1
E-commerce system1,12,9,2,8,3,0,8,0.16666666666666666,0,0,0.0,2.75,3.0,0,0
OnlineExamPL,18,12,5,11,5,1,11,0.16666666666666666,0,0,1.0,2.25,10.0,1,0
U-learning System,24,3,4,16,5,3,16,0.5,0,0,0.0,2.3636363636363638,59584.0,3,0
Smart Queue,13,4,6,9,5,6,9,0.15384615384615385,0,0,0.0,1.8,4.0,0,6
LXEP,10,8,2,7,2,0,7,0.1,0,0,0.0,3.0,2.0,0,0
Text Editor,12,4,2,7,5,1,7,0.3333333333333333,0,0,1.0,2.0,11.0,0,1
Mobile Media,16,6,3,10,3,2,10,0.25,0,0,0.0,2.125,140.0,1,1
FrameWorkProdemge,23,9,2,17,4,1,17,0.4782608695652174,0,0,0.0,3.2857142857142856,528.0,0,1
MasterSoft: Verkauf,26,14,2,14,6,2,14,0.2692307692307692,0,0,0.0,1.9285714285714286,384.0,0,2
Pip,14,13,8,12,2,0,12,0.0,0,0,0.0,6.5,1.0,0,0
MobilePhone,25,8,4,17,4,4,17,0.24,0,0,1.0,2.3333333333333335,3528.0,4,0
SPLE robot assignment,23,7,5,14,5,7,20,0.0,3,3,0.0,1.8125,120.0,2,5
e-banking-IN0980,55,3,9,41,5,11,44,0.14545454545454545,3,0,0.0,2.6,5.1702726656E11,9,2
MobileMedia,10,2,4,7,3,1,7,0.4,0,0,0.0,2.5,30.0,0,1
TW SPL Hard Choices,12,9,2,9,2,0,9,0.16666666666666666,0,0,0.0,3.6666666666666665,4.0,0,0
Documentation_Generation,44,7,3,32,6,9,43,0.06818181818181818,1,10,0.0,2.4761904761904763,5.568156E7,5,4
